Lake,Assessment,year,inches,sex,age,pounds
Escanaba,Spring Fyke Net,2011,18.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,19.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,16,2,NA,NA
Escanaba,Spring Fyke Net,2011,20.9,2,10,2.56
Escanaba,Spring Fyke Net,2011,15.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,17.3,1,9,1.5
Escanaba,Spring Fyke Net,2011,15.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,18,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,16,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,13.1,1,5,0.56
Escanaba,Spring Fyke Net,2011,16.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,23,2,14,3.75
Escanaba,Spring Fyke Net,2011,17.3,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.5,2,8,2.19
Escanaba,Spring Fyke Net,2011,15.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,20.5,2,10,2.75
Escanaba,Spring Fyke Net,2011,16.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,13.8,1,6,0.63
Escanaba,Spring Fyke Net,2011,13.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,1,NA,NA
Escanaba,Spring Fyke Net,2011,19.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,12.8,1,4,0.56
Escanaba,Spring Fyke Net,2011,16.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.9,1,6,1
Escanaba,Spring Fyke Net,2011,18.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.7,2,8,2.44
Escanaba,Spring Fyke Net,2011,17.6,2,9,1.94
Escanaba,Spring Fyke Net,2011,20.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.8,2,4,1
Escanaba,Spring Fyke Net,2011,17.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.5,2,7,1.75
Escanaba,Spring Fyke Net,2011,17.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.8,2,6,1.13
Escanaba,Spring Fyke Net,2011,15.8,2,6,1.25
Escanaba,Spring Fyke Net,2011,12.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,21.1,2,9,3.63
Escanaba,Spring Fyke Net,2011,14.1,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,20.6,2,10,3.25
Escanaba,Spring Fyke Net,2011,13.4,1,4,0.56
Escanaba,Spring Fyke Net,2011,15,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.4,1,6,1.44
Escanaba,Spring Fyke Net,2011,14.3,2,4,0.69
Escanaba,Spring Fyke Net,2011,16.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.4,2,9,2.13
Escanaba,Spring Fyke Net,2011,15.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,15.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.8,2,6,1.75
Escanaba,Spring Fyke Net,2011,15.9,2,6,1.31
Escanaba,Spring Fyke Net,2011,18.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,16,1,7,1.25
Escanaba,Spring Fyke Net,2011,16.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,14,1,NA,NA
Escanaba,Spring Fyke Net,2011,19.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.7,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.1,2,9,2
Escanaba,Spring Fyke Net,2011,14.7,2,6,0.94
Escanaba,Spring Fyke Net,2011,17.9,1,12,1.88
Escanaba,Spring Fyke Net,2011,18.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,19,2,NA,NA
Escanaba,Spring Fyke Net,2011,12.8,1,4,0.63
Escanaba,Spring Fyke Net,2011,19.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.3,1,6,0.88
Escanaba,Spring Fyke Net,2011,15.1,1,6,1
Escanaba,Spring Fyke Net,2011,16.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,13.1,1,4,0.63
Escanaba,Spring Fyke Net,2011,17.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,2,7,1.44
Escanaba,Spring Fyke Net,2011,11.9,1,4,0.44
Escanaba,Spring Fyke Net,2011,14.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,19.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,21.9,2,8,3
Escanaba,Spring Fyke Net,2011,14.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.4,1,7,1.44
Escanaba,Spring Fyke Net,2011,18.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.7,2,7,2
Escanaba,Spring Fyke Net,2011,17.1,2,9,1.56
Escanaba,Spring Fyke Net,2011,18.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,12.7,1,4,0.56
Escanaba,Spring Fyke Net,2011,16.4,2,9,1.56
Escanaba,Spring Fyke Net,2011,16.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,15,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.9,1,NA,NA
Escanaba,Spring Fyke Net,2011,15.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.7,2,7,2
Escanaba,Spring Fyke Net,2011,17.9,1,10,1.75
Escanaba,Spring Fyke Net,2011,18,2,NA,NA
Escanaba,Spring Fyke Net,2011,15,1,NA,NA
Escanaba,Spring Fyke Net,2011,17,2,7,1.63
Escanaba,Spring Fyke Net,2011,15.3,1,NA,NA
Escanaba,Spring Fyke Net,2011,14,1,4,1
Escanaba,Spring Fyke Net,2011,14.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,18,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,20.3,2,10,2.63
Escanaba,Spring Fyke Net,2011,18.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,19,2,7,2.38
